long_name	short_name	bxd_id	batch	off_epoch	type	gen_inbreeding	gen_breeding	note	cross_type
4512-JFI-0468_BXD209	BXD209_0468	BXD209	7_rww	epoch_6	F2_RI	10	10	NA	RI
4512-JFI-0405_BXD210	BXD210_0405	BXD210	7_rww	epoch_6	F2_RI	NA	NA	NA	RI
4512-JFI-0359_BXD211	BXD211_0359	BXD211	7_rww	epoch_6	F2_RI	16	16	NA	RI
4512-JFI-0491_BXD213	BXD213_0491	BXD213	7_rww	epoch_6	F2_RI	15	15	NA	RI
4512-JFI-0449_BXD214	BXD214_0449	BXD214	7_rww	epoch_6	F2_RI	16	16	NA	RI
4512-JFI-0476_BXD215	BXD215_0476	BXD215	7_rww	epoch_6	F2_RI	15	15	NA	RI
4512-JFI-0443_BXD216	BXD216_0443	BXD216	7_rww	epoch_6	F2_RI	17	17	NA	RI
4512-JFI-0473_BXD217	BXD217_0473	BXD217	7_rww	epoch_6	F2_RI	11	11	NA	RI
4512-JFI-0390_BXD218	BXD218_0390	BXD218	7_rww	epoch_6	F2_RI	13	13	NA	RI
4512-JFI-0396_BXD219	BXD219_0396	BXD219	7_rww	epoch_6	F2_RI	14	14	NA	RI
4512-JFI-0375_BXD221	BXD221_0375	BXD221	8_rww	epoch_7	F2_RIX_RI	26	26	NA	RIX
4512-JFI-0404_BXD222	BXD222_0404	BXD222	8_rww	epoch_7	F2_RIX_RI	38	38	NA	RIX
4512-JFI-0411_BXD223	BXD223_0411	BXD223	8_rww	epoch_7	F2_RIX_RI	38	38	NA	RIX
4512-JFI-0376_BXD224	BXD224_0376	BXD224	8_rww	epoch_7	F2_RIX_RI	26	26	NA	RIX
4512-JFI-0371_BXD225	BXD225_0371	BXD225	8_rww	epoch_7	F2_RIX_RI	28	40	NA	RIX
4512-JFI-0488_BXD226	BXD226_0488	BXD226	8_rww	epoch_7	F2_RIX_RI	25	25	NA	RIX
4512-JFI-0360_BXD227	BXD227_0360	BXD227	8_rww	epoch_7	F2-G9_RIX_RI	26	26	NA	RIX
4512-JFI-0334_DBA_2J_three_lanes	DBA_2J_0334_three_lanes	DBA	founder	founder	NA	NA	NA	NA	NA
4512-JFI-0333_C57BL_6J_two_lanes	C67BL_6J_0333_two_lanes	C57BL	founder	founder	NA	NA	NA	NA	NA
